Date	Open_IXIC	High_IXIC	Low_IXIC	Close_IXIC	Volume_IXIC	AdjClose_IXIC	Return_IXIC	nasdaq_EMA6	nasdaq_EMA14	nasdaq_MoM6	nasdaq_MoM14	nasdaq_WIILR6	nasdaq_WIILR14	nasdaq_K%6	nasdaq_K%14	nasdaq_OBV	nasdaq_RSI6	nasdaq_RSI14	nasdaq_RoC6	nasdaq_RoC14	nasdaq_MA6	nasdaq_MA14
2010-01-04	2294.409912	2311.149902	2294.409912	2308.419922	1931380000	2308.419922	0.000541463493205	2308.419922	2308.419922	10.7081264066	25.255006	0.376976664442	0.35582021629	0.623023335558	0.64417978371	1931380000.0	0.56837735844	0.561559280538	0.00326455257753	0.0076392963597	3692.13462957	3691.27166569
2010-01-05	2307.27002	2313.72998	2295.620117	2308.709961	2367860000	2308.709961	0.000125643951187	2308.419922	2308.419922	10.7081264066	25.255006	0.376976664442	0.35582021629	0.623023335558	0.64417978371	4299240000.0	0.56837735844	0.561559280538	0.00326455257753	0.0076392963597	3692.13462957	3691.27166569
2010-01-06	2307.709961	2314.070068	2295.679932	2301.090088	2253340000	2301.090088	-0.00330048950657	2308.50279029	2308.45859387	10.7081264066	25.255006	0.376976664442	0.35582021629	0.623023335558	0.64417978371	2045900000.0	0.56837735844	0.561559280538	0.00326455257753	0.0076392963597	3692.13462957	3691.27166569
2010-01-07	2298.090088	2301.300049	2285.219971	2300.050049	2270050000	2300.050049	-0.00045197665464	2306.38487535	2307.47612642	10.7081264066	25.255006	0.376976664442	0.35582021629	0.623023335558	0.64417978371	-224150000.0	0.56837735844	0.561559280538	0.00326455257753	0.0076392963597	3692.13462957	3691.27166569
2010-01-08	2292.23999	2317.600098	2290.610107	2317.169922	2145390000	2317.169922	0.00744326107488	2304.57492496	2306.48598276	10.7081264066	25.255006	0.376976664442	0.35582021629	0.623023335558	0.64417978371	1921240000.0	0.56837735844	0.561559280538	0.00326455257753	0.0076392963597	3692.13462957	3691.27166569
2010-01-11	2324.780029	2326.280029	2302.209961	2312.409912	2077890000	2312.409912	-0.00205423432904	2308.17349554	2307.91050799	10.7081264066	25.255006	0.376976664442	0.35582021629	0.623023335558	0.64417978371	-156650000.0	0.56837735844	0.561559280538	0.00326455257753	0.0076392963597	2307.97497567	3691.27166569
2010-01-12	2297.280029	2298.850098	2272.699951	2282.310059	2368320000	2282.310059	-0.0130166597383	2309.38390025	2308.51042853	-26.109863	25.255006	1.07086965147	0.35582021629	-0.0708696514749	0.64417978371	-2524970000.0	0.564709884588	0.561559280538	-0.0113107077058	0.0076392963597	2303.62333183	3691.27166569
2010-01-13	2289.459961	2313.030029	2274.120117	2307.899902	2318350000	2307.899902	0.0112122552758	2301.64851703	2305.01704592	-0.810059	25.255006	0.343040318082	0.35582021629	0.656959681918	0.64417978371	-206620000.0	0.28573775539	0.561559280538	-0.000350870838557	0.0076392963597	2303.488322	3691.27166569
2010-01-14	2303.310059	2322.560059	2303.290039	2316.73999	2254170000	2316.73999	0.00383036023024	2303.43462702	2305.40142673	15.649902	25.255006	0.178051980439	0.35582021629	0.821948019561	0.64417978371	2047550000.0	0.495302888892	0.561559280538	0.00680108183578	0.0076392963597	2306.096639	3691.27166569
2010-01-15	2316.97998	2322.540039	2279.199951	2287.98999	2637770000	2287.98999	-0.0124096791716	2307.2361593	2306.91323517	-12.060059	25.255006	0.71463201304	0.35582021629	0.28536798696	0.64417978371	-590220000.0	0.58947944319	0.561559280538	-0.0052433898146	0.0076392963597	2304.08662917	3691.27166569
2010-01-19	2291.02002	2320.399902	2290.679932	2320.399902	2045290000	2320.399902	0.0141652333016	2301.73725379	2304.39013581	3.22998	25.255006	0.109744651734	0.35582021629	0.890255348266	0.64417978371	1455070000.0	0.447637661196	0.561559280538	0.00139393316361	0.0076392963597	2304.62495917	3691.27166569
